point_identification;x;y;time;result_type;value
Fenomarker_10;23,92;-5,8;0;Soil.Ux;0,000
Fenomarker_10;23,92;-5,8;6;Soil.Ux;-1,677
Fenomarker_10;23,92;-5,8;13;Soil.Ux;-2,880
Fenomarker_10;23,92;-5,8;21;Soil.Ux;-2,710
Fenomarker_10;23,92;-5,8;26;Soil.Ux;1,616
Fenomarker_10;23,92;-5,8;33;Soil.Ux;-3,853
Fenomarker_10;23,92;-5,8;40;Soil.Ux;5,054
Fenomarker_10;23,92;-5,8;46;Soil.Ux;-1,593
Fenomarker_10;23,92;-5,8;56;Soil.Ux;-5,931
Fenomarker_10;23,92;-5,8;61;Soil.Ux;-8,981
Fenomarker_10;23,92;-5,8;82;Soil.Ux;-10,585
Fenomarker_10;23,92;-5,8;89;Soil.Ux;-3,525
Fenomarker_10;23,92;-5,8;98;Soil.Ux;-4,595
Fenomarker_10;23,92;-5,8;105;Soil.Ux;-9,285
Fenomarker_10;23,92;-5,8;113;Soil.Ux;-5,312
Fenomarker_10;23,92;-5,8;123;Soil.Ux;-13,490
Fenomarker_10;23,92;-5,8;133;Soil.Ux;-11,546
Fenomarker_10;23,92;-5,8;140;Soil.Ux;-8,071
Fenomarker_10;23,92;-5,8;148;Soil.Ux;-0,331
Fenomarker_10;23,92;-5,8;159;Soil.Ux;-8,715
Fenomarker_10;23,92;-5,8;0;Soil.Uy;0,000
Fenomarker_10;23,92;-5,8;6;Soil.Uy;20,547
Fenomarker_10;23,92;-5,8;13;Soil.Uy;12,029
Fenomarker_10;23,92;-5,8;21;Soil.Uy;29,029
Fenomarker_10;23,92;-5,8;26;Soil.Uy;38,045
Fenomarker_10;23,92;-5,8;33;Soil.Uy;44,217
Fenomarker_10;23,92;-5,8;40;Soil.Uy;46,599
Fenomarker_10;23,92;-5,8;46;Soil.Uy;70,196
Fenomarker_10;23,92;-5,8;56;Soil.Uy;89,358
Fenomarker_10;23,92;-5,8;61;Soil.Uy;84,388
Fenomarker_10;23,92;-5,8;82;Soil.Uy;100,464
Fenomarker_10;23,92;-5,8;89;Soil.Uy;106,393
Fenomarker_10;23,92;-5,8;98;Soil.Uy;117,111
Fenomarker_10;23,92;-5,8;105;Soil.Uy;130,452
Fenomarker_10;23,92;-5,8;113;Soil.Uy;133,648
Fenomarker_10;23,92;-5,8;123;Soil.Uy;168,849
Fenomarker_10;23,92;-5,8;133;Soil.Uy;186,772
Fenomarker_10;23,92;-5,8;140;Soil.Uy;193,090
Fenomarker_10;23,92;-5,8;148;Soil.Uy;184,718
Fenomarker_10;23,92;-5,8;159;Soil.Uy;205,156
Fenomarker_9;28,31;-5,8;0;Soil.Ux;0,000
Fenomarker_9;28,31;-5,8;6;Soil.Ux;-3,949
Fenomarker_9;28,31;-5,8;13;Soil.Ux;-6,537
Fenomarker_9;28,31;-5,8;21;Soil.Ux;-12,577
Fenomarker_9;28,31;-5,8;26;Soil.Ux;-8,640
